id ,order_id,buy_timestamp,buy_price,buy_amount,buy_cost,buy_fees,closed,sell_timestamp,sell_price,sell_amount,sell_cost,sell_fees,position
75,OU46DG-Y5X7W-SOD7GQ,2023-10-09T14:05:14,26053.7,0.00011514,2.999823018,0.0042,False,,,,,,1
76,O2YUFF-TDGZN-TG2TS3,2023-10-09T14:06:15,26068.1,0.00011508,2.999916948,0.0042,False,,,,,,1
77,OM67DC-MHOQX-AY2VAQ,2023-10-09T14:07:15,26049.8,0.00011517,3.000155466,0.0042,False,,,,,,1
78,OQYPBO-YUMNR-ZQ7FIJ,2023-10-09T14:08:15,26055.0,0.00011514,2.9999727,0.0042,False,,,,,,1
79,OZS3T2-2SDCS-XZLESG,2023-10-09T14:09:14,26067.7,0.00011508,2.999870916,0.0042,False,,,,,,1
80,OZJY35-3GS6L-AE25XK,2023-10-09T14:11:15,26053.7,0.00011514,2.999823018,0.0042,False,,,,,,1
81,O5XHDX-5RA6K-MD76CA,2023-10-09T14:12:14,26042.5,0.00011519,2.999835575,0.0042,False,,,,,,1
201,O3RDC7-VEPFS-YKCDOG,2023-10-11T18:45:14,25170.4,0.00011918,2.999808272,0.0042,True,2023-10-12T14:33:15,25277.8,0.00011918,3.012608204,0.00482,2
275,OLPXRJ-43FWO-6YZIU6,2023-10-12T19:36:14,25200.5,0.00011903,2.999615515,0.0048,True,2023-10-12T21:34:15,25336.8,0.00011903,3.015839304,0.00483,3
271,OVPA2L-2FUKR-ORN2BQ,2023-10-12T19:30:15,25223.4,0.00011893,2.999818962,0.0048,True,2023-10-12T21:36:15,25352.9,0.00011893,3.015220397,0.00482,3
215,OVO6YN-ZTJ5P-SY7ZUD,2023-10-11T19:05:14,25133.9,0.00011932,2.998976948,0.0042,True,2023-10-12T21:45:15,25357.5,0.00011932,3.0256569,0.00484,2
232,OWEI3A-46WPY-PDCO5W,2023-10-11T19:51:14,25100.4,0.00011952,2.999999808,0.0042,True,2023-10-12T22:09:15,25379.0,0.00011952,3.03329808,0.00485,2
258,OM4CI3-KVKRS-MWH7AT,2023-10-12T17:52:14,25262.8,0.00011877,3.000462756,0.0048,True,2023-10-12T22:16:15,25389.9,0.00011877,3.015558423,0.00482,3
243,OXZDCF-ZW7V6-NONWUS,2023-10-12T17:03:14,25269.3,0.0001187,2.99946591,0.0048,True,2023-10-12T23:02:15,25391.4,0.0001187,3.01395918,0.00482,3
267,OAKXW4-NS6RV-4CKAVT,2023-10-12T18:28:14,25266.6,0.00011875,3.00040875,0.0048,True,2023-10-13T00:14:15,25395.7,0.00011875,3.015739375,0.00483,3
248,OXVWUV-WLZEZ-MM4ZIF,2023-10-12T17:33:14,25275.1,0.00011868,2.999648868,0.0048,True,2023-10-13T00:15:15,25400.9,0.00011868,3.014578812,0.00482,3
153,OIWC4D-AW5A6-AWODU4,2023-10-11T17:28:13,25308.2,0.00011858,3.001046356,0.0042,True,2023-10-13T09:34:15,25510.1,0.00011858,3.024987658,0.00484,2
244,OULZJ6-L3B26-OYPA46,2023-10-12T17:04:14,25280.4,0.00011866,2.999772264,0.0048,True,2023-10-13T14:52:15,25530.7,0.00011866,3.029472862,0.00485,3
253,OTVQBS-VBZE7-T6LD6E,2023-10-12T17:46:15,25274.5,0.00011869,2.999830405,0.0048,True,2023-10-13T14:56:15,25534.8,0.00011869,3.030725412,0.00485,3
250,O4S3LX-KWCVZ-XA3OBP,2023-10-12T17:43:15,25264.1,0.00011874,2.999859234,0.0048,True,2023-10-13T14:59:15,25539.9,0.00011874,3.032607726,0.00485,3
263,O2M73O-YGSEY-YR7EVH,2023-10-12T18:03:15,25260.1,0.00011876,2.999889476,0.0048,True,2023-10-13T15:01:15,25556.3,0.00011876,3.035066188,0.00486,3
110,OQD565-OU5SX-GQ5FZO,2023-10-11T16:27:14,25488.1,0.0001177,2.99994937,0.0042,True,2023-10-15T10:44:14,25618.1,0.0001177,3.01525037,0.00482,2
197,O4VGN6-YVXPF-AGJOEH,2023-10-11T18:40:13,25196.4,0.00011908,3.000387312,0.0042,True,2023-10-12T14:38:15,25319.6,0.00011908,3.015057968,0.00482,2
161,O4UZYN-6AE4Z-3MYLTD,2023-10-11T17:36:14,25227.5,0.0001189,2.99954975,0.0042,True,2023-10-12T14:41:16,25354.4,0.0001189,3.01463816,0.00482,2
167,O6WH34-V6MKH-JVLY6R,2023-10-11T17:47:13,25228.2,0.00011889,2.999380698,0.0042,True,2023-10-12T15:03:14,25358.5,0.00011889,3.014872065,0.00482,2
169,OYMRCF-3HRM5-IXSHY6,2023-10-11T17:49:14,25251.7,0.0001188,2.99990196,0.0042,True,2023-10-12T15:10:15,25380.7,0.0001188,3.01522716,0.00482,2
163,ODK67W-W4TXH-3N6PCW,2023-10-11T17:38:14,25251.6,0.00011882,3.000395112,0.0042,True,2023-10-12T15:13:14,25380.6,0.00011882,3.015722892,0.00483,2
